State,Ugrad,Prof,Grad,Total
Alabama,9,1,31,41
Alaska,0,0,3,3
Arizona,48,7,100,155
Arkansas,9,0,23,32
California,1223,86,1176,2485
Colorado,43,10,121,174
Connecticut,39,7,58,104
Delaware,10,0,15,25
District of Columbia,7,0,33,40
Florida,89,28,221,338
Georgia,61,19,153,233
Guam,2,0,1,3
Hawaii,10,0,21,31
Idaho,4,0,16,20
Illinois,25657,570,4645,30872
Indiana,64,26,145,235
Iowa,33,2,67,102
Kansas,33,2,40,75
Kentucky,18,8,44,70
Louisiana,6,1,21,28
Maine,2,4,12,18
Maryland,65,10,150,225
Massachusetts,132,17,127,276
Michigan,59,51,234,344
Minnesota,74,10,127,211
Mississippi,9,0,12,21
Missouri,112,20,149,281
Montana,1,0,8,9
Nebraska,14,1,22,37
Nevada,13,3,37,53
New Hampshire,11,3,22,36
New Jersey,413,24,251,688
New Mexico,8,1,30,39
New York,207,20,279,506
North Carolina,56,13,127,196
North Dakota,0,0,6,6
Northern Mariana Islands,1,0,0,1
Ohio,97,41,172,310
Oklahoma,6,1,35,42
Oregon,46,4,58,108
Pennsylvania,93,19,186,298
Puerto Rico,2,3,25,30
Rhode Island,12,1,11,24
South Carolina,9,1,32,42
South Dakota,2,2,9,13
Tennessee,46,5,87,138
Texas,267,33,465,765
Utah,4,6,53,63
Vermont,5,0,7,12
Virgin Islands,0,1,0,1
Virginia,194,15,201,410
Washington,136,10,237,383
West Virginia,6,2,5,13
Wisconsin,62,14,151,227
Wyoming,0,0,3,3
Military,2,0,4,6
Other Countries,5396,74,8050,13520
Unknown,519,122,1557,2198
